"","x"
"cauchy11",0.853129319964334
"cauchy12",-0.78396225675034
"cauchy13",0.948008801208782
"cauchy14",7.69430022639442
"cauchy15",-0.572212923369259
"cauchy16",5.10619461761596
"cauchy17",1.25822906149737
"cauchy18",6.82990284756941
"cauchy19",-14.9054236029927
"cauchy110",-4.427723595791
"cauchy21",-0.0786491836565181
"cauchy22",2.3148380461175
"cauchy23",0.000624318580047824
"cauchy24",-7.04384086926297
"cauchy25",-0.678274680485373
"cauchy26",-60.7441822714515
"cauchy27",527.59582311895
"cauchy28",5.12038856691213
"cauchy29",1.12409078767871
"cauchy210",2.64796066864711
"cauchy211",5.10354362466853
"cauchy212",-68.9773305668559
"cauchy213",-1.5927425561387
"cauchy214",-2.88276661711188
"cauchy215",163.024673519149
"cauchy216",-4.02707493135979
"cauchy217",-1.25411368705463
"cauchy218",1.1155204321998
"cauchy219",3.01551425331291
"cauchy220",1.49950668571631
"cauchy221",4.68399077351164
"cauchy222",1.28684789804116
"cauchy223",-0.130858222926826
"cauchy224",-42.3479482850151
"cauchy225",15.6367228888706
"cuahcy31",-0.330970226956975
"cuahcy32",1291.91654768199
"cuahcy33",-0.508307475751447
"cuahcy34",-28.7400871951445
"cuahcy35",53.2034316594514
"cuahcy36",-3.67955341629452
"cuahcy37",37.6890929220149
"cuahcy38",14.7615116173382
"cuahcy39",-1.3656010780381
"cuahcy310",5.27784254042356
"cuahcy311",-15.4942403553538
"cuahcy312",-0.6524256033186
"cuahcy313",24.7119276087046
"cuahcy314",-1.85861635487329
"cuahcy315",-4.47015085259785
"cuahcy316",-3.20799157032128
"cuahcy317",109.662474313647
"cuahcy318",12.808181098665
"cuahcy319",-3.79788982415623
"cuahcy320",-4.16842660399754
"cuahcy321",-20.0503630112865
"cuahcy322",-10.8351452194115
"cuahcy323",4.82191340148399
"cuahcy324",-23.4463635365782
"cuahcy325",0.842903077258395
"cuahcy326",4.97202728421779
"cuahcy327",9.57475921095789
"cuahcy328",0.237039033055834
"cuahcy329",-24.5094687811239
"cuahcy330",3.04132068890505
"cuahcy331",102.993975784533
"cuahcy332",-82.375121879315
"cuahcy333",4.92143350077538
"cuahcy334",-34.5835481966201
"cuahcy335",4.14462684743635
"cuahcy336",1159.84412938958
"cuahcy337",-44.7031018958921
"cuahcy338",-155.888447722196
"cuahcy339",-3.1708545595334
"cuahcy340",-2.75952709256038
"cuahcy341",4.57231965915288
"cuahcy342",3.93373634966858
"cuahcy343",14.6721313044515
"cuahcy344",26.1913666341062
"cuahcy345",-238.112516204275
"cuahcy346",-10.5321049927848
"cuahcy347",-11.7899369611981
"cuahcy348",-0.38648168352061
"cuahcy349",-9.94831136199778
"cuahcy350",0.585661631366644
